zip_code,year,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Jan_temperature,Feb_temperature,Mar_temperature,Apr_temperature,May_temperature,Jun_temperature,Jul_temperature,Aug_temperature,Sep_temperature,Oct_temperature,Nov_temperature,Dec_temperature,Jan_wind_direction,Feb_wind_direction,Mar_wind_direction,Apr_wind_direction,May_wind_direction,Jun_wind_direction,Jul_wind_direction,Aug_wind_direction,Sep_wind_direction,Oct_wind_direction,Nov_wind_direction,Dec_wind_direction,Jan_windspeed,Feb_windspeed,Mar_windspeed,Apr_windspeed,May_windspeed,Jun_windspeed,Jul_windspeed,Aug_windspeed,Sep_windspeed,Oct_windspeed,Nov_windspeed,Dec_windspeed
500202,1999,0.0265060240963855,0.0816988166639649,0.0987302409950764,0.0911703656394699,0.0941889551664421,0.0489040120281712,0.0422742602004465,0.0209839534473637,0.0802797786825347,0.4190712173287507,0.0243233357717629,0.0034540019926934,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.0,19.0,37.0,37.0,45.0,41.0,45.0,45.0,2.0,19.0,19.0,19.0,0.1326530612244897,0.1101694915254237,0.1317829457364341,0.0852713178294573,0.0892857142857142,0.0915492957746478,0.0769230769230769,0.0983606557377049,0.087378640776699,0.09375,0.0991735537190082,0.1586206896551724
500202,2000,0.0367049593723732,0.1658291457286432,0.0059600932884166,0.2015008781733993,0.0615739849913411,0.0552346284719474,0.0506816130717712,0.0161641097983894,0.0697358805720847,0.1236511869554792,0.0099975615703486,0.0079043507140484,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.0,37.0,37.0,37.0,2.0,41.0,41.0,45.0,45.0,2.0,19.0,19.0,0.1224489795918367,0.1101694915254237,0.0852713178294573,0.0775193798449612,0.0982142857142857,0.0704225352112676,0.0769230769230769,0.1147540983606557,0.1262135922330096,0.0729166666666666,0.1652892561983471,0.0896551724137931
500202,2001,0.0087979826281871,0.0171826876317069,0.3211324177247991,0.0825482995369631,0.1321916490282855,0.0505657988446625,0.0289269937776088,0.0438488214894492,0.0499008247207432,0.2895851650547518,0.0243233357717629,0.0018598472268349,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,37.0,37.0,37.0,37.0,41.0,45.0,41.0,45.0,2.0,19.0,19.0,19.0,0.1122448979591836,0.1101694915254237,0.0697674418604651,0.1162790697674418,0.1071428571428571,0.0845070422535211,0.1118881118881118,0.1229508196721311,0.0776699029126213,0.0729166666666666,0.1818181818181818,0.1310344827586206
500202,2002,-999.0,-999.0,0.0126328064265353,0.0100590771195912,0.1319030209736386,0.0508823296668513,0.0092623379090865,0.0422617998001528,0.0874830358074955,0.080808888178403,0.073274811021702,0.0229159747592162,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.0,37.0,37.0,37.0,37.0,41.0,45.0,45.0,45.0,19.0,19.0,19.0,0.1530612244897959,0.1186440677966101,0.1395348837209302,0.1317829457364341,0.1696428571428571,0.0985915492957746,0.1538461538461538,0.1475409836065573,0.1359223300970873,0.1666666666666666,0.140495867768595,0.1241379310344827
500202,2003,-999.0,-999.0,0.0365379632029023,0.1536005109372505,0.1246873196074658,0.0201788399145366,0.0722462356908754,0.0138129665549873,0.0448376657271113,0.5172248421389177,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.0,37.0,37.0,37.0,45.0,45.0,2.0,45.0,45.0,19.0,19.0,19.0,0.1938775510204081,0.1779661016949152,0.1472868217054263,0.1782945736434108,0.1785714285714285,0.1197183098591549,0.0769230769230769,0.1311475409836065,0.116504854368932,0.1666666666666666,0.1652892561983471,0.1793103448275862
500202,2004,0.0364808069487251,0.0444156265196952,0.0004534853589012,0.0041513651604662,0.1621127573600154,0.1017646593337026,0.0101173229468484,0.0286251689884206,0.0333020148240943,0.1334825353688754,0.0012192148256522,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.0,32.0,37.0,37.0,41.0,41.0,41.0,41.0,19.0,19.0,19.0,26.0,0.1632653061224489,0.2203389830508474,0.255813953488372,0.2325581395348837,0.1875,0.1338028169014084,0.1118881118881118,0.1311475409836065,0.1359223300970873,0.25,0.2727272727272727,0.2137931034482758
500202,2005,0.0026898290837769,-999.0,0.0240347240217672,0.106977486827399,0.0778333654031171,0.0511988604890401,0.0442692252885574,0.0255099041909128,0.0949472805094477,0.2984573575253777,0.053218727139722,0.0218532049153105,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,37.0,37.0,37.0,37.0,37.0,41.0,45.0,45.0,45.0,2.0,5.0,19.0,0.2653061224489796,0.2966101694915254,0.2790697674418604,0.2015503875968992,0.1875,0.1830985915492957,0.1048951048951049,0.1475409836065573,0.116504854368932,0.1770833333333333,0.2066115702479339,0.2551724137931034
500202,2006,0.0127766881479405,0.0019452099205705,0.1599507644467478,0.2056522433338656,0.0661920338656917,0.102318588272533,0.0449817128200256,0.0588961382472227,0.0575738594842885,0.0597873870993525,0.0,0.0232480903354367,0.7409326424870467,0.7565789473684211,0.6258064516129033,0.6058823529411763,0.65625,0.8209876543209875,0.7945205479452055,0.0311182493475205,0.8591549295774648,0.7378048780487805,0.821917808219178,0.7351351351351351,2.0,2.0,33.0,32.0,3.0,32.0,45.0,45.0,2.0,2.0,2.0,19.0,0.2040816326530612,0.2033898305084745,0.1627906976744186,0.1317829457364341,0.1160714285714285,0.0845070422535211,0.1188811188811188,0.1311475409836065,0.1553398058252427,0.1875,0.2231404958677685,0.2689655172413793
500202,2007,0.0002801905295601,-999.0,0.0126328064265353,0.2725530895736868,0.3578987877621705,0.0660758091319142,0.0462641903766684,0.035796155880797,0.0465079862198559,0.1488290304532012,0.0868690563277249,0.0001992693457323,0.756476683937824,0.6447368421052633,0.7096774193548389,0.6764705882352942,0.7250000000000001,0.802469135802469,0.7945205479452055,0.0335274041357157,0.7887323943661971,0.7073170731707317,0.6095890410958905,0.7513513513513513,19.0,32.0,37.0,34.0,45.0,32.0,45.0,45.0,40.0,2.0,20.0,19.0,0.3163265306122448,0.2881355932203389,0.2480620155038759,0.2015503875968992,0.1517857142857142,0.1197183098591549,0.1118881118881118,0.1229508196721311,0.116504854368932,0.2604166666666667,0.2809917355371901,0.1724137931034483
500202,2008,0.0003922667413841,0.0298265521154157,0.0016195905675045,0.1282133163020916,0.0809120646526842,0.0461343673340191,0.0383793283617536,0.0098748016222888,0.0412360371646309,0.0850451602589721,0.0258473543038283,0.0,0.7409326424870467,0.7105263157894738,0.6516129032258065,0.6352941176470587,0.66875,0.7716049382716048,0.7945205479452055,0.0333266412366994,0.8732394366197185,0.7195121951219511,0.8013698630136985,0.7135135135135136,2.0,37.0,38.0,37.0,45.0,45.0,45.0,45.0,45.0,2.0,11.0,19.0,0.2653061224489796,0.1694915254237288,0.193798449612403,0.1627906976744186,0.1428571428571428,0.1267605633802816,0.1188811188811188,0.1475409836065573,0.1553398058252427,0.15625,0.3223140495867768,0.2482758620689655
