ZipCode,Precision,Recall,F1_Score,Accuracy
381301,0.6822991391678623,0.5609756097560976,0.5946997754792654,0.5609756097560976
383201,0.6300813008130082,0.4878048780487805,0.49361207897793263,0.4878048780487805
386301,0.29411764705882354,0.25,0.2702702702702703,0.25
387401,0.4448092557848656,0.2926829268292683,0.32827949901120634,0.2926829268292683
388401,0.5164609053497942,0.37037037037037035,0.4104953588824557,0.37037037037037035
391201,1.0,0.6666666666666666,0.8000000000000002,0.6666666666666666
400201,0.605436834554104,0.3902439024390244,0.4540008557980317,0.3902439024390244
400301,0.5426829268292682,0.4146341463414634,0.42953197099538565,0.4146341463414634
402301,0.5246247654784241,0.36585365853658536,0.41608900299529306,0.36585365853658536
403201,0.5397667020148462,0.4146341463414634,0.4603658536585366,0.4146341463414634
405201,0.5892953929539295,0.4146341463414634,0.4729177598951714,0.4146341463414634
405301,0.5631364997860505,0.34146341463414637,0.4060959914618451,0.34146341463414637
406201,1.0,1.0,1.0,1.0
407301,0.3789868667917448,0.24390243902439024,0.2901155327342747,0.24390243902439024
407501,0.5676274944567627,0.4878048780487805,0.5024368470139099,0.4878048780487805
409301,0.49640626841051017,0.4146341463414634,0.44905443619653584,0.4146341463414634
410201,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.42857142857142855
415301,0.43333333333333335,0.25,0.31640625,0.25
417201,0.6428571428571429,0.42857142857142855,0.5142857142857142,0.42857142857142855
419301,0.5497942386831276,0.2962962962962963,0.35648148148148145,0.2962962962962963
423301,0.5170731707317073,0.3902439024390244,0.3927990708478513,0.3902439024390244
424301,0.48958333333333337,0.34375,0.3984375,0.34375
425201,0.589769647696477,0.5365853658536586,0.5516220486073539,0.5365853658536586
425301,0.5880758807588077,0.4146341463414634,0.4861278946459838,0.4146341463414634
426201,0.5661638853230636,0.4146341463414634,0.46173934466617395,0.4146341463414634
426401,0.4634146341463415,0.3902439024390244,0.4227642276422765,0.3902439024390244
429201,0.5863039399624765,0.5121951219512195,0.5391147244805781,0.5121951219512195
429301,0.26000000000000006,0.3,0.2515151515151515,0.3
429601,0.37407407407407406,0.2,0.20888888888888887,0.2
430201,0.5023158413402317,0.43902439024390244,0.46000220156940447,0.43902439024390244
430401,0.4377711366046466,0.3902439024390244,0.4122357723577236,0.3902439024390244
431201,0.5698405253283302,0.34146341463414637,0.3706988585037365,0.34146341463414637
431301,0.6531165311653117,0.4634146341463415,0.4658741545398647,0.4634146341463415
431401,0.5430894308943089,0.4146341463414634,0.43912003825920615,0.4146341463414634
432201,0.7714196372732958,0.2926829268292683,0.3274747866842064,0.2926829268292683
432301,0.5755941213258287,0.4146341463414634,0.45515007029769544,0.4146341463414634
432401,0.3576624488049392,0.3170731707317073,0.31336161187698836,0.3170731707317073
436201,0.7674258109040717,0.5217391304347826,0.605752508361204,0.5217391304347826
436401,0.6366144018583042,0.4146341463414634,0.4638859432072582,0.4146341463414634
438201,0.42857142857142855,0.14285714285714285,0.21428571428571427,0.14285714285714285
440201,0.4984218077474893,0.3170731707317073,0.34607398022032165,0.3170731707317073
440401,0.6482510288065845,0.4074074074074074,0.4622895622895623,0.4074074074074074
450201,0.40265297389816,0.2682926829268293,0.3177383592017739,0.2682926829268293
450401,0.47238163558106167,0.2926829268292683,0.3409189776327132,0.2926829268292683
451301,0.47815599035111234,0.34146341463414637,0.37708600770218226,0.34146341463414637
455201,0.28918247515808493,0.14634146341463414,0.15173942962000153,0.14634146341463414
455203,0.5885416666666666,0.375,0.396011396011396,0.375
455301,0.4449371766444937,0.24390243902439024,0.3011517615176152,0.24390243902439024
455302,0.6083916083916083,0.5853658536585366,0.5943185078909613,0.5853658536585366
455601,0.5008468834688347,0.36585365853658536,0.39730779068130023,0.36585365853658536
459201,0.4292682926829269,0.36585365853658536,0.3708273553323769,0.36585365853658536
459202,0.516260162601626,0.4146341463414634,0.42431281455671704,0.4146341463414634
459203,0.6396631823461091,0.43902439024390244,0.46930599740780016,0.43902439024390244
459204,0.667828106852497,0.3902439024390244,0.4577643635968132,0.3902439024390244
459205,0.6208333333333333,0.46875,0.5032051282051282,0.46875
465201,0.36585365853658536,0.21951219512195122,0.2613240418118467,0.21951219512195122
478201,0.4361892849697728,0.2926829268292683,0.31976893453145055,0.2926829268292683
478301,0.4253945480631277,0.3170731707317073,0.35106619056265004,0.3170731707317073
480201,0.4398801882755669,0.3170731707317073,0.3266255504419062,0.3170731707317073
480301,0.6179386309992132,0.6585365853658537,0.6280487804878049,0.6585365853658537
500201,0.5680050031269543,0.24390243902439024,0.24609627048651436,0.24390243902439024
500202,0.6815718157181573,0.5365853658536586,0.5890353313471023,0.5365853658536586
500301,0.39524702939337086,0.2682926829268293,0.310300562170776,0.2682926829268293
501201,0.6522394678492239,0.3170731707317073,0.38606000095088666,0.3170731707317073
517201,0.751451800232288,0.2682926829268293,0.31571083278400347,0.2682926829268293
517301,0.3048780487804878,0.36585365853658536,0.3325942350332594,0.36585365853658536
532201,0.4362910008410429,0.17073170731707318,0.1835249316190199,0.17073170731707318
551201,0.39814169570267127,0.2682926829268293,0.28832951945080093,0.2682926829268293
551203,0.7651053215077604,0.3902439024390244,0.45583277927470817,0.3902439024390244
551301,0.6245614035087719,0.28125,0.30824922360248447,0.28125
551401,0.5339506172839505,0.5185185185185185,0.5255922589255922,0.5185185185185185
552201,0.4551219512195122,0.21951219512195122,0.19873532068654018,0.21951219512195122
552202,0.1181640625,0.34375,0.17587209302325582,0.34375
552301,0.5699156427654503,0.4146341463414634,0.4661862527716186,0.4146341463414634
552401,0.2990265906932574,0.2222222222222222,0.1986008230452675,0.2222222222222222
560301,0.2746932282987426,0.24390243902439024,0.19580956061191554,0.24390243902439024
561201,0.3959827833572453,0.2926829268292683,0.33449477351916374,0.2926829268292683
564201,0.3976670201484624,0.36585365853658536,0.38109756097560976,0.36585365853658536
564202,0.5352720450281426,0.5121951219512195,0.5203252032520324,0.5121951219512195
566201,0.6439024390243903,0.6097560975609756,0.5568552063382123,0.6097560975609756
566202,0.20808823529411763,0.3125,0.24145299145299143,0.3125
567201,0.25058072009291515,0.17073170731707318,0.1713648479290049,0.17073170731707318
568301,0.6758130081300813,0.12195121951219512,0.11894934333958725,0.12195121951219512
568401,0.3864838864838865,0.25925925925925924,0.2864197530864198,0.25925925925925924
568501,0.6195121951219512,0.4878048780487805,0.5224646983311938,0.4878048780487805
568502,0.3949952486537852,0.5365853658536586,0.452387627324549,0.5365853658536586
570201,0.5193586900903974,0.4634146341463415,0.4897268830844337,0.4634146341463415
580201,0.470844277673546,0.36585365853658536,0.37931601988084657,0.36585365853658536
581301,0.7712842712842712,0.5,0.5628099173553719,0.5
583201,0.5587583148558758,0.5853658536585366,0.543986543313709,0.5853658536585366
